grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
12016,18.28183198,0.783681555,1.276028501,,,,,0
12017,16.44881161,0.822596117,1.21566341,,,,,0
12018,20.34214473,0.775295715,1.289830424,,,,,0
12019,9.356025796,0.529969933,1.886899496,,,,,0
12020,19.94711402,0.704123374,1.420205659,,,,,0
12021,22.5234629,0.703683696,1.421093036,,,,,0
12022,10.55502061,0.781280612,1.279949848,,,,,0
12023,13.30638472,0.54663695,1.829367737,,,,,0
12024,15.95769122,0.464227278,2.154117278,,,,,0
12025,23.43255329,0.821771309,1.216883565,,,,,0
12026,16.44881161,0.691579695,1.445964951,,,,,0
12027,4.886025119,0.742685302,1.346465316,,,,,0
12028,39.59389081,0.675727545,1.479886395,,,,,0
12029,9.953488961,0.323976511,3.086643521,,,,,0
12030,51.01159985,0.519985162,1.9231318,,,,,0
12031,37.31763326,0.553199912,1.807664784,,,,,0
12032,9.772050238,0.769905714,1.298860343,,,,,0
12033,48.20437915,0.658912771,1.517651568,,,,,0
12034,21.85096861,0.925991981,1.079922959,,,,,0
12035,8.920620581,0.760118717,1.315583971,,,,,0
12036,6.307831305,0.475219486,2.104290816,,,,,0
12037,11.28379167,0.430942478,2.320495314,,,,,0
12038,28.49017743,0.79138849,1.2636019,,,,,0
12039,8.920620581,0.67912769,1.472477143,,,,,0
12040,12.92720736,0.645354205,1.549536662,,,,,0
12041,28.52507049,0.694957849,1.43893619,,,,,0
12042,11.28379167,0.486161518,2.056929566,,,,,0
12043,24.4301256,0.743103108,1.345708273,,,,,0
12044,17.95240262,0.591582767,1.690380543,,,,,0
12045,10.55502061,0.586542687,1.70490575,,,,,0
12046,4.886025119,0.391394258,2.554968502,,,,,0
12047,15.45096808,0.532598419,1.87758725,,,,,0
12048,20.14559766,0.900447138,1.110559364,,,,,0
12049,48.14243304,0.439689545,2.274331994,,,,,0
12050,10.92548431,0.895324999,1.116912854,,,,,0
12051,12.61566261,0.391384339,2.555033253,,,,,0
12052,44.24483925,0.564040666,1.772921814,,,,,0
12053,70.83332253,0.446536281,2.239459687,,,,,0
12054,19.84417691,0.379879107,2.632416426,,,,,0
12055,23.09045386,0.628362146,1.591438961,,,,,0
12056,15.70637329,0.726302945,1.376835942,,,,,0
12057,25.70005863,0.825142462,1.211911937,,,,,0
12058,25.38853126,0.615362827,1.625057538,,,,,0
12059,19.74663542,0.55991507,1.785985149,,,,,0
12060,8.462843753,0.474980655,2.105348902,,,,,0
12061,26.31205052,0.795136531,1.25764565,,,,,0
12062,10.17107236,0.546443567,1.830015139,,,,,0
12063,6.909882989,0.467383332,2.139571378,,,,,0
12064,13.81976598,0.495159135,2.019552764,,,,,0
12065,33.25848545,0.628407873,1.591323157,,,,,0
12066,35.3463761,0.960448447,1.041180298,,,,,0
12067,34.6069494,0.416632741,2.400195427,,,,,0
12068,3.989422804,0.553083809,1.80804425,,,,,0
12069,27.74728883,0.787338926,1.270101055,,,,,0
12070,46.86510658,0.770533728,1.297801723,,,,,0
12071,25.85441473,0.491803215,2.033333596,,,,,0
12072,19.33944457,0.838614059,1.192443638,,,,,0
12073,34.43405765,0.470435115,2.12569166,,,,,0
12074,6.307831305,0.644989233,1.550413479,,,,,0
12075,19.94711402,0.715894443,1.396853977,,,,,0
12076,14.65807536,0.794496792,1.258658323,,,,,0
12077,8.462843753,0.516205145,1.937214322,,,,,0
12078,15.95769122,0.736616831,1.357557903,,,,,0
12079,21.78190516,0.561124796,1.782134752,,,,,0
12080,41.72238236,0.764977874,1.307227351,,,,,0
12081,27.3501048,0.611562306,1.635156369,,,,,0
12082,18.71205159,0.874223267,1.143872553,,,,,0
12083,10.92548431,0.728386884,1.372896769,,,,,0
12084,48.61533611,0.563172407,1.775655177,,,,,0
12085,15.45096808,0.650170758,1.538057483,,,,,0
12086,13.2935526,0.697383068,1.433932148,,,,,0
12087,33.07854643,0.383652185,2.606527574,,,,,0
12088,18.06287998,0.599667604,1.667590501,,,,,0
12089,33.25848545,0.857141878,1.166667999,,,,,0
12090,28.35017571,0.788503499,1.26822519,,,,,0
12091,3.989422804,0.553083809,1.80804425,,,,,0
12092,13.52879095,0.817025372,1.223952198,,,,,0
12093,50.93354074,0.713217664,1.402096514,,,,,0
12094,18.49819255,0.363316878,2.752418238,,,,,0
12095,17.6168141,0.509918117,1.961099178,,,,,0
12096,28.20947918,0.677876753,1.475194416,,,,,0
12097,15.70637329,0.55819434,1.791490756,,,,,0
12098,11.63106623,0.674147635,1.483354607,,,,,0
12099,15.95769122,0.626551116,1.596038973,,,,,0
12100,29.24821053,0.828068615,1.207629394,,,,,0
12101,27.20423653,0.97050718,1.03038908,,,,,0
